frame,id,x,y,w,h,score,class,visibility,unused
1,1,1689,385,146,332,1,1,1,1
1,2,1303,503,61,139,1,1,1,1
1,3,1258,569,40,91,1,1,1,1
1,4,31,525,113,257,1,1,1,1
2,1,1689,385,146,332,1,1,1,1
2,2,1312,503,61,139,1,1,1,1
2,6,1744,476,123,280,1,1,1,1
2,3,1254,537,52,118,1,1,1,1
3,6,1742,513,94,214,1,1,1,1
3,1,1664,418,135,307,1,1,1,1
3,2,1312,503,61,139,1,1,1,1
4,1,1668,371,159,362,1,1,1,1
4,6,1759,473,113,257,1,1,1,1
4,13,1852,505,30,70,1,1,1,1
4,2,1305,500,67,153,1,1,1,1
4,14,107,494,103,234,1,1,1,1
5,1,1692,371,159,362,1,1,1,1
5,13,1848,505,30,70,1,1,1,1
5,2,1318,537,52,118,1,1,1,1
6,1,1666,385,146,332,1,1,1,1
6,13,1849,510,28,64,1,1,1,1
6,17,1333,498,56,128,1,1,1,1
6,2,1318,537,52,118,1,1,1,1
6,18,1741,473,113,257,1,1,1,1
6,19,107,494,103,234,1,1,1,1
7,1,1668,371,159,362,1,1,1,1
7,13,1849,510,28,64,1,1,1,1
7,17,1316,489,67,153,1,1,1,1
8,1,1668,371,159,362,1,1,1,1
8,17,1322,494,61,139,1,1,1,1
8,13,1848,505,30,70,1,1,1,1
8,23,123,494,103,234,1,1,1,1
9,1,1666,385,146,332,1,1,1,1
9,17,1326,489,67,153,1,1,1,1
9,13,1848,505,30,70,1,1,1,1
9,25,1727,418,135,307,1,1,1,1
9,26,142,521,52,118,1,1,1,1
10,1,1689,385,146,332,1,1,1,1
10,17,1326,500,67,153,1,1,1,1
10,26,146,515,56,128,1,1,1,1
10,29,266,463,103,234,1,1,1,1
11,1,1689,385,146,332,1,1,1,1
11,17,1326,500,67,153,1,1,1,1
12,1,1689,408,146,332,1,1,1,1
12,17,1326,490,73,167,1,1,1,1
13,1,1689,385,146,332,1,1,1,1
13,17,1326,490,73,167,1,1,1,1
13,39,1643,408,146,332,1,1,1,1
13,40,151,501,28,64,1,1,1,1
14,1,1668,371,159,362,1,1,1,1
14,17,1326,490,73,167,1,1,1,1
14,43,1717,396,159,362,1,1,1,1
14,44,-52,254,270,614,1,1,1,1
14,39,1619,396,159,362,1,1,1,1
15,1,1668,371,159,362,1,1,1,1
15,46,1825,535,33,76,1,1,1,1
15,17,1336,500,67,153,1,1,1,1
15,44,-52,254,270,614,1,1,1,1
16,1,1668,371,159,362,1,1,1,1
16,46,1834,532,36,83,1,1,1,1
16,17,1336,500,67,153,1,1,1,1
16,44,-52,254,270,614,1,1,1,1
17,1,1666,385,146,332,1,1,1,1
17,17,1336,500,67,153,1,1,1,1
17,51,1711,408,146,332,1,1,1,1
17,44,-52,254,270,614,1,1,1,1
18,1,1666,408,146,332,1,1,1,1
18,44,-52,254,270,614,1,1,1,1
18,17,1350,503,61,139,1,1,1,1
18,52,1594,396,159,362,1,1,1,1
18,53,1836,541,33,76,1,1,1,1
18,54,1295,461,87,199,1,1,1,1
19,1,1666,408,146,332,1,1,1,1
19,44,-52,254,270,614,1,1,1,1
19,17,1350,503,61,139,1,1,1,1
19,52,1594,396,159,362,1,1,1,1
19,53,1836,541,33,76,1,1,1,1
20,1,1643,371,159,362,1,1,1,1
20,44,-52,254,270,614,1,1,1,1
20,52,1594,396,159,362,1,1,1,1
20,17,1349,490,73,167,1,1,1,1
20,56,1308,474,87,199,1,1,1,1
21,1,1643,371,159,362,1,1,1,1
21,44,-52,254,270,614,1,1,1,1
21,17,1349,490,73,167,1,1,1,1
21,52,1594,396,159,362,1,1,1,1
21,58,1692,396,159,362,1,1,1,1
22,1,1643,396,159,362,1,1,1,1
22,44,-52,254,270,614,1,1,1,1
22,17,1349,490,73,167,1,1,1,1
22,52,1594,371,159,362,1,1,1,1
22,60,1792,456,73,167,1,1,1,1
22,61,1314,468,79,181,1,1,1,1
23,1,1643,354,175,398,1,1,1,1
23,44,-52,254,270,614,1,1,1,1
23,17,1349,490,73,167,1,1,1,1
23,52,1589,381,175,398,1,1,1,1
23,60,1792,456,73,167,1,1,1,1
24,52,1619,396,159,362,1,1,1,1
24,44,-52,254,270,614,1,1,1,1
24,17,1349,490,73,167,1,1,1,1
24,1,1668,371,159,362,1,1,1,1
24,64,1326,479,73,167,1,1,1,1
25,52,1619,396,159,362,1,1,1,1
25,17,1349,490,73,167,1,1,1,1
25,44,-10,254,270,614,1,1,1,1
25,1,1668,371,159,362,1,1,1,1
25,66,1840,532,36,83,1,1,1,1
25,64,1326,479,73,167,1,1,1,1
26,52,1619,396,159,362,1,1,1,1
26,17,1349,490,73,167,1,1,1,1
26,69,1835,557,26,59,1,1,1,1
26,64,1326,479,73,167,1,1,1,1
26,1,1668,371,159,362,1,1,1,1
27,52,1616,354,175,398,1,1,1,1
27,17,1349,490,73,167,1,1,1,1
27,69,1831,557,26,59,1,1,1,1
27,64,1326,479,73,167,1,1,1,1
27,1,1670,381,175,398,1,1,1,1
28,52,1616,354,175,398,1,1,1,1
28,17,1349,490,73,167,1,1,1,1
28,77,31,254,270,614,1,1,1,1
28,78,1831,357,79,181,1,1,1,1
29,52,1619,371,159,362,1,1,1,1
29,17,1349,490,73,167,1,1,1,1
29,77,31,254,270,614,1,1,1,1
29,81,1569,396,159,362,1,1,1,1
29,82,1689,430,146,332,1,1,1,1
30,52,1616,354,175,398,1,1,1,1
30,17,1339,480,79,181,1,1,1,1
30,85,1810,533,30,70,1,1,1,1
30,77,31,254,270,614,1,1,1,1
31,52,1616,354,175,398,1,1,1,1
31,17,1349,490,73,167,1,1,1,1
31,85,1815,549,26,59,1,1,1,1
31,90,1326,479,73,167,1,1,1,1
32,52,1619,396,159,362,1,1,1,1
32,95,1349,490,73,167,1,1,1,1
32,96,1752,290,207,470,1,1,1,1
32,97,1689,430,146,332,1,1,1,1
32,90,1308,461,87,199,1,1,1,1
32,17,127,688,94,214,1,1,1,1
33,52,1616,354,175,398,1,1,1,1
33,17,1339,480,79,181,1,1,1,1
33,96,1752,290,207,470,1,1,1,1
33,98,73,254,270,614,1,1,1,1
34,52,1616,354,175,398,1,1,1,1
34,17,1349,490,73,167,1,1,1,1
34,96,1752,290,207,470,1,1,1,1
34,101,1308,461,87,199,1,1,1,1
34,102,1692,396,159,362,1,1,1,1
34,98,73,254,270,614,1,1,1,1
35,52,1616,354,175,398,1,1,1,1
35,17,1349,490,73,167,1,1,1,1
35,102,1670,381,175,398,1,1,1,1
35,96,1752,290,207,470,1,1,1,1
35,101,1308,461,87,199,1,1,1,1
35,103,135,647,113,257,1,1,1,1
36,52,1616,354,175,398,1,1,1,1
36,17,1349,490,73,167,1,1,1,1
36,102,1670,381,175,398,1,1,1,1
36,96,1752,290,207,470,1,1,1,1
36,104,1308,461,87,199,1,1,1,1
36,101,145,713,79,181,1,1,1,1
37,52,1616,354,175,398,1,1,1,1
37,17,1349,490,73,167,1,1,1,1
37,102,1670,381,175,398,1,1,1,1
37,96,1752,290,207,470,1,1,1,1
37,101,1310,545,52,118,1,1,1,1
38,52,1616,354,175,398,1,1,1,1
38,17,1349,490,73,167,1,1,1,1
38,102,1670,381,175,398,1,1,1,1
38,96,1752,290,207,470,1,1,1,1
38,106,1308,461,87,199,1,1,1,1
39,52,1616,381,175,398,1,1,1,1
39,17,1349,490,73,167,1,1,1,1
39,96,1752,290,207,470,1,1,1,1
39,106,1308,461,87,199,1,1,1,1
40,52,1622,354,189,429,1,1,1,1
40,17,1349,490,73,167,1,1,1,1
40,96,1752,290,207,470,1,1,1,1
40,110,1310,545,52,118,1,1,1,1
40,111,329,543,135,307,1,1,1,1
41,52,1622,354,189,429,1,1,1,1
41,17,1349,490,73,167,1,1,1,1
41,96,1752,290,207,470,1,1,1,1
41,110,1310,545,52,118,1,1,1,1
41,111,333,543,146,332,1,1,1,1
42,52,1622,354,189,429,1,1,1,1
42,17,1349,490,73,167,1,1,1,1
42,96,1752,290,207,470,1,1,1,1
42,112,236,248,226,514,1,1,1,1
42,113,1308,461,87,199,1,1,1,1
43,52,1616,381,175,398,1,1,1,1
43,17,1349,490,73,167,1,1,1,1
43,96,1752,290,207,470,1,1,1,1
43,112,259,275,250,567,1,1,1,1
43,115,1310,537,52,118,1,1,1,1
44,52,1593,354,189,429,1,1,1,1
44,17,1349,490,73,167,1,1,1,1
44,96,1737,283,226,514,1,1,1,1
44,116,497,515,33,76,1,1,1,1
45,52,1622,354,189,429,1,1,1,1
45,17,1349,490,73,167,1,1,1,1
45,96,1752,290,207,470,1,1,1,1
45,118,1564,325,189,429,1,1,1,1
45,119,1315,545,47,108,1,1,1,1
46,118,1593,354,189,429,1,1,1,1
46,17,1349,490,73,167,1,1,1,1
