frame,id,x,y,w,h,score,class,visibility,unused
1,1,1689,385,146,332,1,1,1,1
1,2,1303,503,61,139,1,1,1,1
1,3,1258,569,40,91,1,1,1,1
1,4,31,525,113,257,1,1,1,1
2,1,1689,385,146,332,1,1,1,1
2,2,1312,503,61,139,1,1,1,1
2,5,1744,476,123,280,1,1,1,1
2,3,1254,537,52,118,1,1,1,1
3,5,1742,513,94,214,1,1,1,1
3,1,1664,418,135,307,1,1,1,1
3,2,1312,503,61,139,1,1,1,1
4,1,1668,371,159,362,1,1,1,1
4,5,1759,473,113,257,1,1,1,1
4,6,1852,505,30,70,1,1,1,1
4,2,1305,500,67,153,1,1,1,1
4,7,107,494,103,234,1,1,1,1
5,1,1692,371,159,362,1,1,1,1
5,8,1848,505,30,70,1,1,1,1
5,2,1318,537,52,118,1,1,1,1
6,1,1666,385,146,332,1,1,1,1
6,9,1849,510,28,64,1,1,1,1
6,10,1333,498,56,128,1,1,1,1
6,2,1318,537,52,118,1,1,1,1
6,11,1741,473,113,257,1,1,1,1
6,12,107,494,103,234,1,1,1,1
7,1,1668,371,159,362,1,1,1,1
7,13,1849,510,28,64,1,1,1,1
7,10,1316,489,67,153,1,1,1,1
8,1,1668,371,159,362,1,1,1,1
8,10,1322,494,61,139,1,1,1,1
8,14,1848,505,30,70,1,1,1,1
8,15,123,494,103,234,1,1,1,1
9,1,1666,385,146,332,1,1,1,1
9,10,1326,489,67,153,1,1,1,1
9,16,1848,505,30,70,1,1,1,1
9,17,1727,418,135,307,1,1,1,1
9,18,142,521,52,118,1,1,1,1
10,17,1689,385,146,332,1,1,1,1
10,10,1326,500,67,153,1,1,1,1
10,18,146,515,56,128,1,1,1,1
10,19,266,463,103,234,1,1,1,1
11,17,1689,385,146,332,1,1,1,1
11,10,1326,500,67,153,1,1,1,1
12,17,1689,408,146,332,1,1,1,1
12,10,1326,490,73,167,1,1,1,1
13,17,1689,385,146,332,1,1,1,1
13,10,1326,490,73,167,1,1,1,1
13,18,1643,408,146,332,1,1,1,1
13,19,151,501,28,64,1,1,1,1
14,17,1668,371,159,362,1,1,1,1
14,10,1326,490,73,167,1,1,1,1
14,20,1717,396,159,362,1,1,1,1
14,21,-52,254,270,614,1,1,1,1
14,22,1619,396,159,362,1,1,1,1
15,17,1668,371,159,362,1,1,1,1
15,23,1825,535,33,76,1,1,1,1
15,10,1336,500,67,153,1,1,1,1
15,21,-52,254,270,614,1,1,1,1
16,17,1668,371,159,362,1,1,1,1
16,24,1834,532,36,83,1,1,1,1
16,10,1336,500,67,153,1,1,1,1
16,21,-52,254,270,614,1,1,1,1
17,17,1666,385,146,332,1,1,1,1
17,10,1336,500,67,153,1,1,1,1
17,25,1711,408,146,332,1,1,1,1
17,21,-52,254,270,614,1,1,1,1
18,17,1666,408,146,332,1,1,1,1
18,21,-52,254,270,614,1,1,1,1
18,10,1350,503,61,139,1,1,1,1
18,26,1594,396,159,362,1,1,1,1
18,27,1836,541,33,76,1,1,1,1
18,28,1295,461,87,199,1,1,1,1
19,17,1666,408,146,332,1,1,1,1
19,21,-52,254,270,614,1,1,1,1
19,10,1350,503,61,139,1,1,1,1
19,26,1594,396,159,362,1,1,1,1
19,29,1836,541,33,76,1,1,1,1
20,17,1643,371,159,362,1,1,1,1
20,21,-52,254,270,614,1,1,1,1
20,26,1594,396,159,362,1,1,1,1
20,10,1349,490,73,167,1,1,1,1
20,30,1308,474,87,199,1,1,1,1
21,17,1643,371,159,362,1,1,1,1
21,21,-52,254,270,614,1,1,1,1
21,10,1349,490,73,167,1,1,1,1
21,26,1594,396,159,362,1,1,1,1
21,31,1692,396,159,362,1,1,1,1
22,17,1643,396,159,362,1,1,1,1
22,21,-52,254,270,614,1,1,1,1
22,10,1349,490,73,167,1,1,1,1
22,26,1594,371,159,362,1,1,1,1
22,32,1792,456,73,167,1,1,1,1
22,33,1314,468,79,181,1,1,1,1
23,17,1643,354,175,398,1,1,1,1
23,21,-52,254,270,614,1,1,1,1
23,10,1349,490,73,167,1,1,1,1
23,26,1589,381,175,398,1,1,1,1
23,32,1792,456,73,167,1,1,1,1
24,26,1619,396,159,362,1,1,1,1
24,21,-52,254,270,614,1,1,1,1
24,10,1349,490,73,167,1,1,1,1
24,17,1668,371,159,362,1,1,1,1
24,33,1326,479,73,167,1,1,1,1
25,26,1619,396,159,362,1,1,1,1
25,10,1349,490,73,167,1,1,1,1
25,21,-10,254,270,614,1,1,1,1
25,17,1668,371,159,362,1,1,1,1
25,34,1840,532,36,83,1,1,1,1
25,33,1326,479,73,167,1,1,1,1
26,26,1619,396,159,362,1,1,1,1
26,10,1349,490,73,167,1,1,1,1
26,35,1835,557,26,59,1,1,1,1
26,33,1326,479,73,167,1,1,1,1
26,17,1668,371,159,362,1,1,1,1
27,26,1616,354,175,398,1,1,1,1
27,10,1349,490,73,167,1,1,1,1
27,36,1831,557,26,59,1,1,1,1
27,33,1326,479,73,167,1,1,1,1
27,17,1670,381,175,398,1,1,1,1
28,26,1616,354,175,398,1,1,1,1
28,10,1349,490,73,167,1,1,1,1
28,37,31,254,270,614,1,1,1,1
28,38,1831,357,79,181,1,1,1,1
29,26,1619,371,159,362,1,1,1,1
29,10,1349,490,73,167,1,1,1,1
29,37,31,254,270,614,1,1,1,1
29,39,1569,396,159,362,1,1,1,1
29,40,1689,430,146,332,1,1,1,1
30,26,1616,354,175,398,1,1,1,1
30,10,1339,480,79,181,1,1,1,1
30,41,1810,533,30,70,1,1,1,1
30,37,31,254,270,614,1,1,1,1
31,26,1616,354,175,398,1,1,1,1
31,10,1349,490,73,167,1,1,1,1
31,42,1815,549,26,59,1,1,1,1
31,43,1326,479,73,167,1,1,1,1
32,26,1619,396,159,362,1,1,1,1
32,10,1349,490,73,167,1,1,1,1
32,44,1752,290,207,470,1,1,1,1
32,45,1689,430,146,332,1,1,1,1
32,46,1308,461,87,199,1,1,1,1
32,43,127,688,94,214,1,1,1,1
33,26,1616,354,175,398,1,1,1,1
33,43,1339,480,79,181,1,1,1,1
33,44,1752,290,207,470,1,1,1,1
33,47,73,254,270,614,1,1,1,1
34,26,1616,354,175,398,1,1,1,1
34,43,1349,490,73,167,1,1,1,1
34,44,1752,290,207,470,1,1,1,1
34,48,1308,461,87,199,1,1,1,1
34,49,1692,396,159,362,1,1,1,1
34,47,73,254,270,614,1,1,1,1
35,26,1616,354,175,398,1,1,1,1
35,43,1349,490,73,167,1,1,1,1
35,49,1670,381,175,398,1,1,1,1
35,44,1752,290,207,470,1,1,1,1
35,48,1308,461,87,199,1,1,1,1
35,50,135,647,113,257,1,1,1,1
36,26,1616,354,175,398,1,1,1,1
36,43,1349,490,73,167,1,1,1,1
36,49,1670,381,175,398,1,1,1,1
36,44,1752,290,207,470,1,1,1,1
36,51,1308,461,87,199,1,1,1,1
36,48,145,713,79,181,1,1,1,1
37,26,1616,354,175,398,1,1,1,1
37,43,1349,490,73,167,1,1,1,1
37,49,1670,381,175,398,1,1,1,1
37,44,1752,290,207,470,1,1,1,1
37,48,1310,545,52,118,1,1,1,1
38,26,1616,354,175,398,1,1,1,1
38,43,1349,490,73,167,1,1,1,1
38,49,1670,381,175,398,1,1,1,1
38,44,1752,290,207,470,1,1,1,1
38,50,1308,461,87,199,1,1,1,1
39,26,1616,381,175,398,1,1,1,1
39,43,1349,490,73,167,1,1,1,1
39,44,1752,290,207,470,1,1,1,1
39,50,1308,461,87,199,1,1,1,1
40,26,1622,354,189,429,1,1,1,1
40,43,1349,490,73,167,1,1,1,1
40,44,1752,290,207,470,1,1,1,1
40,51,1310,545,52,118,1,1,1,1
40,52,329,543,135,307,1,1,1,1
41,26,1622,354,189,429,1,1,1,1
41,43,1349,490,73,167,1,1,1,1
41,44,1752,290,207,470,1,1,1,1
41,53,1310,545,52,118,1,1,1,1
41,52,333,543,146,332,1,1,1,1
42,26,1622,354,189,429,1,1,1,1
42,43,1349,490,73,167,1,1,1,1
42,44,1752,290,207,470,1,1,1,1
42,54,236,248,226,514,1,1,1,1
42,55,1308,461,87,199,1,1,1,1
43,26,1616,381,175,398,1,1,1,1
43,43,1349,490,73,167,1,1,1,1
43,44,1752,290,207,470,1,1,1,1
43,54,259,275,250,567,1,1,1,1
43,56,1310,537,52,118,1,1,1,1
44,26,1593,354,189,429,1,1,1,1
44,43,1349,490,73,167,1,1,1,1
44,44,1737,283,226,514,1,1,1,1
44,57,497,515,33,76,1,1,1,1
45,26,1622,354,189,429,1,1,1,1
45,43,1349,490,73,167,1,1,1,1
45,44,1752,290,207,470,1,1,1,1
45,58,1564,325,189,429,1,1,1,1
45,59,1315,545,47,108,1,1,1,1
46,58,1593,354,189,429,1,1,1,1
46,43,1349,490,73,167,1,1,1,1
